N (# of atoms):
11 Fe2 180.107 0.694199
11 Fe2 190.107 0.697694
11 Fe2 200.108 0.698842
11 Fe2 210.108 0.700996
11 Fe2 220.108 0.706172
11 Fe2 230.109 0.705645
11 Fe2 240.109 0.71062
11 Fe2 250.109 0.711727
11 Fe2 260.11 0.713919
11 Fe2 270.11 0.714661
11 Fe2 280.111 0.71841
11 Fe2 290.111 0.721391
11 Fe2 300.111 0.722615
11 Fe2 310.112 0.724707
11 Fe2 320.112 0.729066
11 Fe2 330.113 0.728824
11 Fe2 340.113 0.732083
11 Fe2 350.113 0.732735
11 Fe2 360.114 0.735964
11 Fe2 370.114 0.737841
11 Fe2 380.114 0.742947
11 Fe2 390.115 0.743429
11 Fe2 400.115 0.745185
11 Fe2 410.116 0.746902
11 Fe2 420.116 0.749004
11 Fe2 430.116 0.752709
11 Fe2 440.117 0.753797
11 Fe2 450.117 0.754105
11 Fe2 460.117 0.756785
11 Fe2 470.118 0.757129
11 Fe2 480.118 0.7612
11 Fe2 490.119 0.762742
T= 490.119 Sum_i(J(m_i, T))
   
12 Fe3 0.100004 1.47448
12 Fe3 10.1004 1.47238
12 Fe3 20.1008 1.47041
12 Fe3 30.1011 1.46837
12 Fe3 40.1015 1.46683
12 Fe3 50.1019 1.46475
12 Fe3 60.1023 1.46267
12 Fe3 70.1027 1.46034
12 Fe3 80.103 1.45843
12 Fe3 90.1034 1.4565
12 Fe3 100.104 1.45416
12 Fe3 110.104 1.45157
12 Fe3 120.105 1.45015
12 Fe3 130.105 1.44765
12 Fe3 140.105 1.44522
12 Fe3 150.106 1.44244
12 Fe3 160.106 1.44042
12 Fe3 170.106 1.43782
12 Fe3 180.107 1.43547
12 Fe3 190.107 1.43198
12 Fe3 200.108 1.43035
12 Fe3 210.108 1.42852
12 Fe3 220.108 1.42594
12 Fe3 230.109 1.42304
12 Fe3 240.109 1.4197
12 Fe3 250.109 1.41603
12 Fe3 260.11 1.41468
12 Fe3 270.11 1.41181
12 Fe3 280.111 1.40954
12 Fe3 290.111 1.40554
12 Fe3 300.111 1.40137
12 Fe3 310.112 1.39977
12 Fe3 320.112 1.39717
12 Fe3 330.113 1.39382
12 Fe3 340.113 1.3911
12 Fe3 350.113 1.38766
12 Fe3 360.114 1.38543
12 Fe3 370.114 1.38212
12 Fe3 380.114 1.37916
12 Fe3 390.115 1.37606
12 Fe3 400.115 1.37347
12 Fe3 410.116 1.37039
12 Fe3 420.116 1.36801
12 Fe3 430.116 1.36515
12 Fe3 440.117 1.36131
12 Fe3 450.117 1.35886
12 Fe3 460.117 1.35743
12 Fe3 470.118 1.35441
12 Fe3 480.118 1.35068
12 Fe3 490.119 1.34758
T= 490.119 Sum_i(J(m_i, T))
   
