N (# of atoms):
16 Fe7 100.104 0.955598
16 Fe7 110.104 0.950904
16 Fe7 120.105 0.946938
16 Fe7 130.105 0.942185
16 Fe7 140.105 0.937651
16 Fe7 150.106 0.932932
16 Fe7 160.106 0.930741
16 Fe7 170.106 0.924525
16 Fe7 180.107 0.922348
16 Fe7 190.107 0.919484
16 Fe7 200.108 0.91406
16 Fe7 210.108 0.913392
16 Fe7 220.108 0.909228
16 Fe7 230.109 0.906224
16 Fe7 240.109 0.90458
16 Fe7 250.109 0.900695
16 Fe7 260.11 0.899583
16 Fe7 270.11 0.898239
16 Fe7 280.111 0.89703
16 Fe7 290.111 0.894312
16 Fe7 300.111 0.892859
16 Fe7 310.112 0.890824
16 Fe7 320.112 0.889239
16 Fe7 330.113 0.888358
16 Fe7 340.113 0.886972
16 Fe7 350.113 0.884391
16 Fe7 360.114 0.884519
16 Fe7 370.114 0.88554
16 Fe7 380.114 0.882447
16 Fe7 390.115 0.882215
16 Fe7 400.115 0.88117
16 Fe7 410.116 0.880567
16 Fe7 420.116 0.879812
16 Fe7 430.116 0.879881
16 Fe7 440.117 0.879763
16 Fe7 450.117 0.87848
16 Fe7 460.117 0.87889
16 Fe7 470.118 0.877879
16 Fe7 480.118 0.877343
16 Fe7 490.119 0.87888
T= 490.119 Sum_i(J(m_i, T))
   
17 Fe8 0.100004 1.22044
17 Fe8 10.1004 1.21616
17 Fe8 20.1008 1.21179
17 Fe8 30.1011 1.20682
17 Fe8 40.1015 1.20277
17 Fe8 50.1019 1.19775
17 Fe8 60.1023 1.19388
17 Fe8 70.1027 1.18832
17 Fe8 80.103 1.18368
17 Fe8 90.1034 1.17815
17 Fe8 100.104 1.17253
17 Fe8 110.104 1.1667
17 Fe8 120.105 1.16248
17 Fe8 130.105 1.15782
17 Fe8 140.105 1.15205
17 Fe8 150.106 1.14775
17 Fe8 160.106 1.14162
17 Fe8 170.106 1.13665
17 Fe8 180.107 1.1304
17 Fe8 190.107 1.1254
17 Fe8 200.108 1.12095
17 Fe8 210.108 1.11689
17 Fe8 220.108 1.11153
17 Fe8 230.109 1.10811
17 Fe8 240.109 1.10358
17 Fe8 250.109 1.09873
17 Fe8 260.11 1.0965
17 Fe8 270.11 1.09241
17 Fe8 280.111 1.08908
17 Fe8 290.111 1.08389
