N (# of atoms):
12 Fe3 340.113 0.541388
12 Fe3 350.113 0.543789
12 Fe3 360.114 0.546545
12 Fe3 370.114 0.547694
12 Fe3 380.114 0.551199
12 Fe3 390.115 0.5541
12 Fe3 400.115 0.556471
12 Fe3 410.116 0.559843
12 Fe3 420.116 0.562124
12 Fe3 430.116 0.563854
12 Fe3 440.117 0.568379
12 Fe3 450.117 0.568847
12 Fe3 460.117 0.573941
12 Fe3 470.118 0.575531
12 Fe3 480.118 0.578332
12 Fe3 490.119 0.579351
T= 490.119 Sum_i(J(m_i, T))
   
13 Fe4 0.100004 0.315694
13 Fe4 10.1004 0.317214
13 Fe4 20.1008 0.318465
13 Fe4 30.1011 0.321371
13 Fe4 40.1015 0.324774
13 Fe4 50.1019 0.329326
13 Fe4 60.1023 0.334325
13 Fe4 70.1027 0.339673
13 Fe4 80.103 0.345933
13 Fe4 90.1034 0.35122
13 Fe4 100.104 0.356416
13 Fe4 110.104 0.362359
13 Fe4 120.105 0.367189
13 Fe4 130.105 0.373437
13 Fe4 140.105 0.379331
13 Fe4 150.106 0.383799
13 Fe4 160.106 0.388768
13 Fe4 170.106 0.395108
13 Fe4 180.107 0.398669
13 Fe4 190.107 0.404414
13 Fe4 200.108 0.409225
13 Fe4 210.108 0.413193
13 Fe4 220.108 0.41715
13 Fe4 230.109 0.423459
13 Fe4 240.109 0.426831
13 Fe4 250.109 0.431693
13 Fe4 260.11 0.434619
13 Fe4 270.11 0.440183
13 Fe4 280.111 0.443656
13 Fe4 290.111 0.44799
13 Fe4 300.111 0.452395
13 Fe4 310.112 0.455784
13 Fe4 320.112 0.45958
13 Fe4 330.113 0.46486
13 Fe4 340.113 0.467583
13 Fe4 350.113 0.470171
13 Fe4 360.114 0.473535
13 Fe4 370.114 0.47758
13 Fe4 380.114 0.482635
13 Fe4 390.115 0.48411
13 Fe4 400.115 0.488173
13 Fe4 410.116 0.490708
13 Fe4 420.116 0.494081
13 Fe4 430.116 0.497231
13 Fe4 440.117 0.500751
13 Fe4 450.117 0.504685
13 Fe4 460.117 0.506408
13 Fe4 470.118 0.510069
13 Fe4 480.118 0.514102
13 Fe4 490.119 0.515362
T= 490.119 Sum_i(J(m_i, T))
   
14 Fe5 0.100004 0.79934
14 Fe5 10.1004 0.793715
14 Fe5 20.1008 0.787927
14 Fe5 30.1011 0.781711
14 Fe5 40.1015 0.7759
14 Fe5 50.1019 0.770981
14 Fe5 60.1023 0.764638
14 Fe5 70.1027 0.760888
14 Fe5 80.103 0.754539
14 Fe5 90.1034 0.750474
14 Fe5 100.104 0.745888
14 Fe5 110.104 0.74317
14 Fe5 120.105 0.740291
14 Fe5 130.105 0.736483
14 Fe5 140.105 0.73327
14 Fe5 150.106 0.731803
14 Fe5 160.106 0.729538
14 Fe5 170.106 0.729384
14 Fe5 180.107 0.727653
14 Fe5 190.107 0.727198
14 Fe5 200.108 0.724988
14 Fe5 210.108 0.72515
14 Fe5 220.108 0.725552
14 Fe5 230.109 0.724084
14 Fe5 240.109 0.723767
14 Fe5 250.109 0.724231
14 Fe5 260.11 0.724476
14 Fe5 270.11 0.726792
14 Fe5 280.111 0.725268
14 Fe5 290.111 0.724807
14 Fe5 300.111 0.726161
14 Fe5 310.112 0.726708
14 Fe5 320.112 0.726915
14 Fe5 330.113 0.726673
14 Fe5 340.113 0.729026
14 Fe5 350.113 0.726789
14 Fe5 360.114 0.730163
14 Fe5 370.114 0.731509
14 Fe5 380.114 0.730777
14 Fe5 390.115 0.732865
14 Fe5 400.115 0.732172
14 Fe5 410.116 0.734496
14 Fe5 420.116 0.73495
14 Fe5 430.116 0.735821
14 Fe5 440.117 0.735296
14 Fe5 450.117 0.740479
14 Fe5 460.117 0.739389
14 Fe5 470.118 0.738996
14 Fe5 480.118 0.741112
14 Fe5 490.119 0.743252
T= 490.119 Sum_i(J(m_i, T))
   
15 Fe6 0.100004 1.35627
15 Fe6 10.1004 1.35284
15 Fe6 20.1008 1.34909
15 Fe6 30.1011 1.34541
15 Fe6 40.1015 1.34217
15 Fe6 50.1019 1.33732
15 Fe6 60.1023 1.33386
15 Fe6 70.1027 1.32975
15 Fe6 80.103 1.32439
15 Fe6 90.1034 1.32048
15 Fe6 100.104 1.31578
15 Fe6 110.104 1.31137
15 Fe6 120.105 1.3058
15 Fe6 130.105 1.3003
15 Fe6 140.105 1.29501
15 Fe6 150.106 1.29042
15 Fe6 160.106 1.28363
15 Fe6 170.106 1.27838
15 Fe6 180.107 1.27293
15 Fe6 190.107 1.26697
15 Fe6 200.108 1.26023
15 Fe6 210.108 1.25486
15 Fe6 220.108 1.2496
15 Fe6 230.109 1.24555
15 Fe6 240.109 1.24029
15 Fe6 250.109 1.23272
15 Fe6 260.11 1.22796
15 Fe6 270.11 1.22436
15 Fe6 280.111 1.21785
15 Fe6 290.111 1.21389
15 Fe6 300.111 1.20907
15 Fe6 310.112 1.20404
15 Fe6 320.112 1.19892
15 Fe6 330.113 1.19527
15 Fe6 340.113 1.18915
15 Fe6 350.113 1.18688
15 Fe6 360.114 1.18225
15 Fe6 370.114 1.17823
15 Fe6 380.114 1.177
15 Fe6 390.115 1.17359
15 Fe6 400.115 1.16987
15 Fe6 410.116 1.16516
15 Fe6 420.116 1.16184
15 Fe6 430.116 1.15878
15 Fe6 440.117 1.15859
15 Fe6 450.117 1.15478
15 Fe6 460.117 1.15039
15 Fe6 470.118 1.14964
15 Fe6 480.118 1.14764
15 Fe6 490.119 1.14287
T= 490.119 Sum_i(J(m_i, T))
   
16 Fe7 0.100004 0.675859
16 Fe7 10.1004 0.663075
16 Fe7 20.1008 0.651432
16 Fe7 30.1011 0.642091
16 Fe7 40.1015 0.633886
16 Fe7 50.1019 0.627453
16 Fe7 60.1023 0.624126
16 Fe7 70.1027 0.621092
16 Fe7 80.103 0.620255
16 Fe7 90.1034 0.618136
16 Fe7 100.104 0.617702
16 Fe7 110.104 0.618763
16 Fe7 120.105 0.620599
16 Fe7 130.105 0.620868
16 Fe7 140.105 0.622313
16 Fe7 150.106 0.624292
16 Fe7 160.106 0.624981
16 Fe7 170.106 0.627287
16 Fe7 180.107 0.628225
16 Fe7 190.107 0.632391
16 Fe7 200.108 0.633134
16 Fe7 210.108 0.63648
16 Fe7 220.108 0.637309
16 Fe7 230.109 0.640532
16 Fe7 240.109 0.642719
16 Fe7 250.109 0.645307
16 Fe7 260.11 0.646868
16 Fe7 270.11 0.649825
16 Fe7 280.111 0.653434
16 Fe7 290.111 0.654578
16 Fe7 300.111 0.657659
16 Fe7 310.112 0.66016
16 Fe7 320.112 0.660983
16 Fe7 330.113 0.663053
16 Fe7 340.113 0.665382
16 Fe7 350.113 0.667058
16 Fe7 360.114 0.66932
16 Fe7 370.114 0.672355
16 Fe7 380.114 0.674548
16 Fe7 390.115 0.67684
16 Fe7 400.115 0.678646
16 Fe7 410.116 0.680827
16 Fe7 420.116 0.682546
16 Fe7 430.116 0.685051
16 Fe7 440.117 0.68804
16 Fe7 450.117 0.688583
16 Fe7 460.117 0.691204
16 Fe7 470.118 0.692158
16 Fe7 480.118 0.693993
16 Fe7 490.119 0.697977
T= 490.119 Sum_i(J(m_i, T))
   
17 Fe8 0.100004 1.17838
17 Fe8 10.1004 1.17425
17 Fe8 20.1008 1.17022
17 Fe8 30.1011 1.16528
17 Fe8 40.1015 1.16145
17 Fe8 50.1019 1.15675
17 Fe8 60.1023 1.15293
17 Fe8 70.1027 1.14726
17 Fe8 80.103 1.14353
17 Fe8 90.1034 1.13812
17 Fe8 100.104 1.13345
17 Fe8 110.104 1.12833
17 Fe8 120.105 1.12434
17 Fe8 130.105 1.11972
17 Fe8 140.105 1.11461
17 Fe8 150.106 1.11099
17 Fe8 160.106 1.10465
17 Fe8 170.106 1.1006
17 Fe8 180.107 1.0949
17 Fe8 190.107 1.09075
17 Fe8 200.108 1.08604
17 Fe8 210.108 1.08247
17 Fe8 220.108 1.07785
17 Fe8 230.109 1.07494
17 Fe8 240.109 1.07101
17 Fe8 250.109 1.06658
17 Fe8 260.11 1.06477
17 Fe8 270.11 1.06022
17 Fe8 280.111 1.05778
17 Fe8 290.111 1.05325
17 Fe8 300.111 1.05055
17 Fe8 310.112 1.04784
17 Fe8 320.112 1.04535
17 Fe8 330.113 1.04142
17 Fe8 340.113 1.04072
17 Fe8 350.113 1.03643
17 Fe8 360.114 1.03494
17 Fe8 370.114 1.03195
17 Fe8 380.114 1.0315
